parish;votes_dk;votes_de;Zone
Haderslev;5209;3275;1
Gml. Haderslev;196;11;1
Hammelev;735;65;1
Vedsted;954;105;1
Hoptrup;937;162;1
Vilstrup;431;159;1
Starup;346;42;1
Grarup;149;6;1
Halk;531;67;1
Øsby;1183;111;1
Vonsbæk;426;26;1
Aastrup;397;50;1
Moitrup;294;14;1
Bjerning;232;20;1
Fjelstrup;809;53;1
Aller;428;48;1
Christiansfeld;247;124;1
Tyrstrup;1266;101;1
Hjerndrup;241;25;1
Magstrup;447;22;1
Frørup;249;41;1
Stepping;690;32;1
Sommersted;704;144;1
Oxenvad;437;79;1
Jægerup;589;231;1
Skrydstrup;366;27;1
Nustrup;859;63;1
Jels;788;147;1
Skodborg;1046;110;1
Skrave;491;29;1
Lintrup;734;82;1
Hjerting;275;22;1
Rødding;951;121;1
Hygum;1027;45;1
Fol;336;12;1
Gram;1479;72;1
Ø. Lindet;536;25;1
Toftlund;836;200;1
Tirslund;339;10;1
Bevtoft;694;24;1
Agerskov;1024;37;1
Branderup;423;34;1
Arrild;382;72;1
Højrup;393;103;1
Spandet;375;21;1
Roager;433;18;1
Hvidding;347;70;1
Rejsby;320;5;1
Vodder;481;31;1
Brøns;511;28;1
Skærbæk;980;164;1
Tønder;761;2504;1
Rømø;514;92;1
Ballum;708;30;1
Randrup;130;8;1
Skast;176;3;1
Hjerpsted;136;20;1
Emmerlev;563;89;1
Brede;794;138;1
Døstrup;536;28;1
Mjolden;227;7;1
Visby;415;48;1
Daler;344;68;1
Møgeltønder;712;113;1
Højer;219;581;1
Højer Landsogn;74;119;1
Ubjærg;43;215;1
Tønder Landsogn;154;73;1
Abild;402;219;1
Lygumkloster;542;516;1
Lygumkl. Lands.;234;53;1
N. Lygum;363;227;1
Højst;282;203;1
Ravsted;354;236;1
Hostrup;299;285;1
Burkal;445;422;1
Tinglev;448;582;1
Bylderup;348;204;1
Aabenraa;2224;2725;1
Bedsted;268;91;1
Hellevad;355;166;1
Egvad;348;31;1
Ø. Lygum;869;181;1
Løjt;1119;353;1
Ris;736;401;1
Hjortkær;510;154;1
Bjøldrup;639;212;1
Uge;174;165;1
Ensted;531;143;1
Felsted;1108;106;1
Varnæs;815;56;1
Asbøl, Graasteen;720;437;1
Rinkenæs;582;283;1
Kværs;426;103;1
Kliplev;748;187;1
Holbøl;598;279;1
Bov;507;390;1
Frøslev;149;106;1
Sønderborg;2029;2601;1
Ullerup;1218;120;1
Saatrup;795;103;1
Nybøl;442;34;1
Dybbøl;562;57;1
Broager;2323;666;1
Ulkebøl;1085;210;1
Hørup;730;64;1
Kejnæs;593;16;1
Lysabild;869;97;1
Tandslet;659;65;1
Augustenborg;256;236;1
Ketting;391;86;1
Asserballe;500;25;1
Notmark;702;39;1
Egen;1041;58;1
Svenstrup;652;32;1
Hagenbjærg;477;72;1
Oxbøl;614;105;1
Nordborg;520;327;1
Nordborg Lands.;642;68;1
Flensborg;8944;27081;2
Bov;128;312;2
Hanved;582;1419;2
Valsbøl;90;313;2
N. Haksted;77;733;2
Vi;75;760;2
Oversø;148;788;2
Adelby;107;615;2
Lyksborg;95;820;2
Munk-Brarup;100;900;2
Hjoldelund og Fjolde;75;672;2
Medelby;181;549;2
Ladelund;142;459;2
S. Lygum;85;480;2
Humtrup;72;253;2
Brarup;51;357;2
Karlum;32;254;2
Klægsbøl;52;455;2
Læk;241;1845;2
Enge;47;612;2
Stedesand;4;398;2
Aventoft;50;271;2
Rødenæs;45;250;2
Nykirke;31;504;2
Klangsbøl;0;153;2
Horsbøl;12;240;2
Embsbøl;14;512;2
Nibøl;49;1302;2
Risum;6;557;2
Dedsbøl;12;430;2
Lindholm;19;730;2
Dagebøl;12;338;2
Galmsbøl;8;392;2
Faretoft;5;528;2
Morsum;87;267;2
Vesterland;132;1217;2
Keitum;130;1188;2
List;7;44;2
St. Johannis;289;662;2
St. Nikolai;251;1113;2
St. Laurentii;219;440;2
Amrum;81;483;2
